label,GradientBoosting_pred,overall,summary,text_preview
Positive,Neutral,5.0,same as original,"same as original. Arrived safe, think its same quality as the original one. Make sure of the part number as they are not all same size."
Neutral,Positive,3.0,Three Stars,"Three Stars. wrong item ordered, my mistake"
Negative,Positive,2.0,Two Stars,"Two Stars. filters fine, tastes fine, just very slow at doing it."
Neutral,Negative,3.0,Product was received damaged but still runs like a champ,"Product was received damaged but still runs like a champ. Product was received damaged but still runs like a champ, so am happy with it, but this is the last Da"
Negative,Positive,1.0,6 months and dead,"6 months and dead. made it 6 months and burnt open.
I do not believe it was OEM part
Everything was clean good air flow part was just not quality."
Positive,Negative,5.0,mkelly,mkelly. Ordered at Christmas and had it in two days! Awesome! Strongly recommend seller! The product was represented correctly and was in packaged so not to be 
Negative,Positive,1.0,Malfunction,"Malfunction. Installed July 7, 2016 Replacement required 9/13/2016."
Neutral,Negative,3.0,Not very robust. The connection between the plastic and ...,"Not very robust. The connection between the plastic and .... Not very robust. The connection between the plastic and mesh broke on one side almost immediately, "
Neutral,Positive,3.0,Three Stars,"Three Stars. These water filters work perfectly, but the price continues to go up each time I order."
Positive,Negative,5.0,Stainless steel hoses,Stainless steel hoses. These seem to be high quality. I bought these for a rental property that I didn't want to leave the to the mercy of the existing rubber h
Neutral,Negative,3.0,not sure of the quality,"not sure of the quality. This is the second set of door handles that we've had to buy for the refrigerator at our rental house, can't say if its the handles or "
Negative,Positive,2.0,It worked for a while.,It worked for a while.. Annoying.  I had to replace this thing again. Third time in two years. Not to hard just an annoying 15 minute job to put in and take out
Neutral,Positive,3.0,"Does the job, could be more pliable","Does the job, could be more pliable. Works fine, but this is just one of those products that is destined to fail and could be improved. On the Aprilaire 550 hum"
Neutral,Positive,3.0,Whirlpool/Kitchen aid plastic is bit brittle,Whirlpool/Kitchen aid plastic is bit brittle. This isn't a ding against this product per se. This is a ding against the plastic being used by Whirlpool and Kitc
Negative,Positive,2.0,Hard to pick out a set that fits range just ...,Hard to pick out a set that fits range just .... Hard to pick out a set that fits range just right. Drip pans I picked didn't fit range at all.
Neutral,Positive,3.0,ice maker,ice maker. It is very slow. It take over 2 days to fill tray. The cable was too long and hard to wrap it so it could be pluged in
Positive,Neutral,5.0,OK,OK. No more odors.
Neutral,Negative,3.0,"Expect a dry dishwasher... new, unused dishwasher.","Expect a dry dishwasher... new, unused dishwasher.. why we're ware spots inside on the door, and water in the packaging?  This does not make sense.  This was to"
Neutral,Positive,3.0,Three Stars,Three Stars. Not as expected but it does make ice
Neutral,Positive,3.0,Its not accurate,"Its not accurate. I love the look and design of the product.  Its easy to read, it gives the humidity and temperature highs and lows which I like.  The one prob"
Negative,Positive,2.0,Wished it worked properly,"Wished it worked properly. this product should be wonderful.. It has all the qualities to make it well worth the money.
The problem is that everything is 3 degr"
Negative,Positive,1.0,Does NOT! Fit,Does NOT! Fit. It does NOT! Fit my freezer even though it claims it fits my model
Positive,Negative,4.0,Product number had been changed........,"Product number had been changed......... It was first thought that it would not fit but after careful consideration & investigation, was told that this was the "
Positive,Negative,5.0,We usually purchase the Samsung filter but I couldn't bring ...,We usually purchase the Samsung filter but I couldn't bring .... We usually purchase the Samsung filter but I couldn't bring myself to keep spending extra money
Neutral,Negative,3.0,"water test different than other off market I replace,","water test different than other off market I replace,. water test different than other off market I replace,  but doable"
Neutral,Negative,3.0,Della Ice Maker,Della Ice Maker. I purchased this ice maker July of 2016. I loved this machine! Until it quit working about a year later.  Contacted Seller and they were unable
Neutral,Negative,3.0,It wasn't as universal as it said. All the ...,It wasn't as universal as it said. All the .... It wasn't as universal as it said. All the pieces fell into the slot after just a couple days.
Negative,Positive,1.0,the little plastic pieces melt from the heat of the ...,the little plastic pieces melt from the heat of the .... the little plastic pieces melt from the heat of the oven causing the knobs to be loose and now 2 of my 
Negative,Positive,1.0,( I see on the new unit has better slightly better non college boy design ) The design ...,"( I see on the new unit has better slightly better non college boy design ) The design .... My dishwasher is 'reasonably' new but 'packed up'.
Their manufacturi"
Negative,Positive,2.0,"I hate to write a bad review for this, but....","I hate to write a bad review for this, but..... The company itself has great customer service, but the product needs work.

I loved this for about the first mon"
Positive,Negative,5.0,Probably the best mini fridge I've owned,"Probably the best mini fridge I've owned. I bought the 4.4^2' ""all fridge"" model in black.

If you're buying a mini fridge you should go for the ""all fridge"" mo"
Neutral,Positive,3.0,I love it but two of the burners won't always light,"I love it but two of the burners won't always light. I love it but two  of the burners won't always light, I have to use a match or outside lighter."
Negative,Positive,1.0,It looked great but by the time it was delivered to my ...,It looked great but by the time it was delivered to my .... It looked great but by the time it was delivered to my mothers house it was dented in several places
Negative,Positive,1.0,Half as good as OEM,"Half as good as OEM. These filters fall apart when wet.  Also, they only evaporate about half the water as the OEM filters so not worth the money in my opinion."
Negative,Positive,1.0,Filtering Data?,Filtering Data?. This filter is advertised as replacement for Maytag UKF8001 yet no data lists cysts and turbidity or lead and mercury filtering. Made in China 
Negative,Positive,1.0,PORTOLA SAYS !,PORTOLA SAYS !. SEARCHED THE WEB FOR WEEKS AND THIS WAS THE BEST PRICE FOR A WELL KNOWN MGR'R......DELIVERY WAS FAST......THANK YOU A1........HAVE ONLY OPENED T
Neutral,Negative,3.0,Cheaply Made,Cheaply Made. Cheaply Made
Negative,Positive,1.0,Should last longer for the price,Should last longer for the price. We have had it 1 1/2 years ran great and now it has died.
Neutral,Positive,3.0,Three Stars,"Three Stars. Not a very strong fan, everything around it gets wet"
Neutral,Positive,3.0,I had trouble with connecting the wires,"I had trouble with connecting the wires. The thermal fuse worked fine. The installation directions were very clear. However, the fuse was difficult to install b"
Negative,Positive,1.0,GE compatible water filter,"GE compatible water filter. The filters arrived quickly, but they were useless in improving the taste of the water; I purchased a regular GE water filter and it"
Negative,Positive,1.0,Not a good buy,Not a good buy. Ran it three times and it leaked all over the place
Negative,Positive,1.0,Not good for under sink installation of european washing machines - ...,Not good for under sink installation of european washing machines - .... Not good for under sink installation of european washing machines - these machines are 
Neutral,Positive,3.0,Why the change from PUR filters?,"Why the change from PUR filters?. Cheaper than old PUR replacements for Whirlpool filters, but I have had several failures with this filter. In order to get the"
Positive,Negative,4.0,Came with 3 springs,"Came with 3 springs. Originally thought that the order came with just one spring. However, it comes with 3! FYI."
Negative,Positive,2.0,Two Stars,"Two Stars. Unfortunately, the overheat thermostat part of this package failed after a few uses."
Negative,Positive,2.0,could be used,could be used. i really needed this product since i was replacing original filter. it has lime build-up inside. it was assumed it would be new
Neutral,Positive,3.0,"I prefer the""Best Air Vista Golden Solution Humidifier Solution.""  (one solution instead of two)","I prefer the""Best Air Vista Golden Solution Humidifier Solution.""  (one solution instead of two). I used this product along with the BT  Humidifier treatment (2"
Neutral,Positive,3.0,It worked but next time I will change the dishwasher brand!,"It worked but next time I will change the dishwasher brand!. The upper rack didn't fit perfectly, I mean is not running smoothly in and out of the dishwasher. O"
Neutral,Positive,3.0,Three Stars,Three Stars. work fine
Positive,Negative,5.0,A 30 second job,"A 30 second job. The GE instruction sheet was incorrect, there's no adapter on top of the MSWF filter which needs removing. Just peel off the tin foil cover on "
Neutral,Negative,3.0,Don't last like the originals.,"Don't last like the originals.. When first installed my humidifier emptied it's tank in less than 24 hours, great.  By week 4 it was taking over 2 days and at w"
Neutral,Positive,3.0,Three Stars,Three Stars. OK but my fridge went bad and gothe rid off
Negative,Positive,2.0,Big and uncomfortable to use. It does spin as ...,Big and uncomfortable to use. It does spin as .... Big and uncomfortable to use. It does spin as advertised. Does not dry my hair as fast as my previous dry bru
Negative,Positive,2.0,Two Stars,Two Stars. Did not fit my old Jenn Aire module.
Negative,Positive,1.0,This belt broke in one month.,This belt broke in one month.. This belt fit on my dryer perfectly. However it stretched out in a period of 30 days. I am already stuck with a malfunctioning dr
Negative,Positive,1.0,While I can honestly say I love the induction cooking the stove is awful,While I can honestly say I love the induction cooking the stove is awful. I have owned a Ge profile induction stove for 4 years. While I can honestly say I love
Negative,Positive,1.0,Does not fit KitchenAid model numbers as advertised,Does not fit KitchenAid model numbers as advertised. Does not fit KitchenAid model numbers as advertised. Price seems too good to be true... it is.
Negative,Positive,1.0,It doesnt match on my fridge whirlpool my has doble ...,It doesnt match on my fridge whirlpool my has doble .... It doesnt match on my fridge whirlpool my has doble things one out and one in but here say its for that
Positive,Negative,5.0,Highly recommended.,"Highly recommended.. This is the real stuff, right here.  Don't bother with the Baking Soda purchases in the supermarket.  Our old fridge died and there was stu"
Neutral,Positive,3.0,Right part but questionable quality,"Right part but questionable quality. Similar to some other experiences here.  Delivered promptly in July 2013 and pretty easily installed.  One year later, same"
Positive,Negative,5.0,"Love it, but don't buy it from HCcost","Love it, but don't buy it from HCcost. Ordered it, took 2.5 weeks to arrive.  Upon arrival, top of box was badly damaged. Upon opening it, range had a major den"
Negative,Positive,2.0,Good seal but won't hold door closed,Good seal but won't hold door closed. Quality of the gasket was great install was really easy and strait forward. Take your time with the cuts  and you shouldin
Neutral,Positive,3.0,Three Stars,Three Stars. expensive but works.
Neutral,Negative,3.0,Not for every use...,"Not for every use.... The product is well made, although it ""unwinds"" quite easily.  You have to treat it gently to keep from ruining it.  I ordered this item b"
Negative,Positive,1.0,it doesn't fit and upon reading the label it says good on ranges except for GE,"it doesn't fit and upon reading the label it says good on ranges except for GE. Beware.  This says GE in the description but when the package arrived, it doesn'"
Negative,Positive,1.0,You'd do better rubbing mud on your dishes,You'd do better rubbing mud on your dishes. I've had the misfortune of owning this POC for the last two years. If a team of the brightest scientists and enginee
Neutral,Negative,3.0,"I get that plastic feels better, but ultimately they have so little metal holding ...","I get that plastic feels better, but ultimately they have so little metal holding .... Item is as described by the seller.  I think my real issue with this prod"
