dataset_index,asin,overall,original_word_count,summary_word_count,original_excerpt,generated_summary,model_name,original_full_text
3442,B0000AYKNT,5.0,101,44,"Well worth the money.... This little machine is awesome! Definately worth the money. When I was doing my homework on portable washers, this one seemed to be the only one I could find that had a spin cycle. (what's the...",This little machine is awesome! It was the only one I could find that had a spin cycle . I would definately reccommend it to my friends and family. Now if I can just find a portable electric dryer about the same size .,sshleifer/distilbart-cnn-12-6,"Well worth the money.... This little machine is awesome! Definately worth the money. When I was doing my homework on portable washers, this one seemed to be the only one I could find that had a spin cycle. (what's the point of having a washing machine if you have to hand wring the clothes?) I am single and an apartment dweller; and this little wahser is the perfect size for me and the apartment. I would definately reccommend it to my friends and family. Now if I can just find a portable electric dryer about the same size....

(PS...mine plays Jingle Bells too! Too funny!)"
472035,B000UW1VVK,1.0,101,45,"MAYTAG STINKS. I purchased this dishwasher sixteen months ago. A couple months ago my home's power went out. When the power came back on a few minutes later, all the appliances came back on except for this crappy dish...","Maytag dishwasher was purchased 16 months ago . Maytag's warranty will not cover the loss of power to the dishwasher . Avoid Maytag like the black death. Avoid MAYTAG like the death. Keep the main product opinion, major issue or benefit, and important context .",sshleifer/distilbart-cnn-12-6,"MAYTAG STINKS. I purchased this dishwasher sixteen months ago. A couple months ago my home's power went out. When the power came back on a few minutes later, all the appliances came back on except for this crappy dishwasher. There was no storm or anything unusual, the power just went out for some reason. So I called Maytag because I'd bought an extended warranty. And they say their warranty will not cover this. What?! What house in the world NEVER has a power outage? Freaking unbelievable. Now I'll throw away the Maytag and replace with anything but. Avoid MAYTAG like the black death."
17876,B0009JLRNG,3.0,101,71,"Not what I expected. I have had this dishwasher for about a month, and it does not clean as well as I had expected. I had better results with my apartment Hotpoint than I do with this $700 one. I do like the features ...","Reviewer: ""Not what I expected. It does not clean as well as I had expected. I do like the features (moveable rack for large plates on top, adjustable tines),it looks pretty,and it is quiet, however, I have to rewash at least two items with every load. My flatware is also getting nicked up pretty badly. I plan to excahnge it for another brand, although I hate to since it took 4",sshleifer/distilbart-cnn-12-6,"Not what I expected. I have had this dishwasher for about a month, and it does not clean as well as I had expected. I had better results with my apartment Hotpoint than I do with this $700 one. I do like the features (moveable rack for large plates on top, adjustable tines),it looks pretty,and it is quiet, however, I have to rewash at least two items with every load. My flatware is also getting nicked up pretty badly. I plan to excahnge it for another brand, although I hate to since it took 4 delivery attempts to actuallly get this one in my house!"
31923,B000FF9Q14,5.0,101,45,Great Product. This is one of the neatest products I have bought in a long time. It makes cooking easy. You set the temperature and it hold it steady with no guess work. It cooks with any cookware that a magnet will s...,"This is one of the neatest products I have bought in a long time . It makes cooking easy . It cooks with any cookware that a magnet will stick to . It is expensive, but it seems to be a high quality product .",sshleifer/distilbart-cnn-12-6,"Great Product. This is one of the neatest products I have bought in a long time.  It makes cooking easy.  You set the temperature and it hold it steady with no guess work.  It cooks with any cookware that a magnet will stick to, which includes almost all stainless steel, all carbon steel and cast iron.  I bought it to cook outside with, but I use it in the kitchen instead of the stove most of the time.  I am sure I will have another one before the year is out.  It is expensive, but It seems to be a high quality product."
1375,B00006JKZX,4.0,101,47,"Sanyo Beer Cooler. The first unit I received was damaged in shipping. It took about a week or so for the vendor to arrange picking up the damaged unit. Once the damaged cooler arrived at warehouse, another unit was se...","The only shortcoming is that the instructions are a little short on details . The beer faucet has several parts/pieces that need assembly, but there are no detailed instructions on how to do this . Other that that, I'm enjoying the cold contents this item dispenses .",sshleifer/distilbart-cnn-12-6,"Sanyo Beer Cooler. The first unit I received was damaged in shipping. It took about a week or so for the vendor to arrange picking up the damaged unit. Once the damaged cooler arrived at warehouse, another unit was sent. This one arrived intact and works well. About the only shortcoming is that the instructions are a little short on details. For example, the beer faucet has several parts/pieces that need assembly, but there are no detailed instructions on how to do this. I did what was intuitively obvious, which appeared to work. Other that that, I'm enjoying the cold contents this item dispenses."
9939,B0002KXMT4,1.0,101,48,"It didn't work. After reading positive reviews, I was really looking forward to receiving my washer. (I'm so tired of going to the laundromat week after week.) However, when my washer arrived, it didn't work... no pow...",Haier customer service told me I'd have to return the product to Amazon . Amazon was very helpful but unfortunately did not have a replacement washer for me . I reboxed it and lugged it down the steps of my 2nd floor apartment to the UPS store .,sshleifer/distilbart-cnn-12-6,"It didn't work. After reading positive reviews, I was really looking forward to receiving my washer. (I'm so tired of going to the laundromat week after week.) However, when my washer arrived, it didn't work... no power. Nothing. When I called Haier customer service, they told me I'd have to return the product to Amazon. Amazon was very helpful; but unfortunately did not have a replacement washer for me. So I reboxed it and lugged it down the steps of my 2nd floor apartment to the UPS store. My experience could've been worse. But in the end I'm still visiting my local laundromat weekly."
463511,B0006386WK,1.0,101,57,Not Very Happy!. The sizzle platter was shown with a wooden base and no where in the description did it say that it came separate or I would have bought the base! The box came to me open with one piece of tape across ...,"The box came to me open with one piece of tape across the top that did not hold, and no packing material- just the metal platters . When I returned the sizzle platters by Priority Mail to the address that they told me, I didn't get my credit because they claim they never got the box .",sshleifer/distilbart-cnn-12-6,"Not Very Happy!. The sizzle platter was shown with a wooden base and no where in the description did it say that it came separate or I would have bought the base! The box came to me open with one piece of tape across the top that did not hold, and no packing material- just the metal platters. When I returned the sizzle platters by Priority Mail to the address that they told me, I didn't get my credit because they claim they never got the box. And because I didn't send it UPS or FEDEX with a tracking number, I'm out my money."
31957,B000FFS0V6,4.0,101,49,"Working fine so far.. Seems to work just as well as most large sized dishwashers I've encountered. It doesn't do silverware as well as I'd like, but everything else comes out clean. For those of you who already own th...","Reviewer: Working fine so far . Seems to work just as well as most large sized dishwashers I've encountered . It doesn't do silverware as much as I'd like, but everything else comes out clean . It's probably your plates in the back blocking the arm from spinning .",sshleifer/distilbart-cnn-12-6,"Working fine so far.. Seems to work just as well as most large sized dishwashers I've encountered.  It doesn't do silverware as well as I'd like, but everything else comes out clean.
For those of you who already own the product and were maybe having trouble with the sprayer arm not rotating- it's probably your plates in the back blocking it.  My smaller plates hang down below the basket enough to stop the arm from spinning. I fixed that by sticking a butter knife horizontally inside the basket just below the plates to boost them up half an inch.  No problems with the arm since."
26663,B000AST3AK,5.0,101,49,"Water tastes great, (and my wife's happy).. When our new GE profile refrigerator flashed it's ""Change Filter"" light, I wondered how much this little filter would cost me to replace. I was surprised...Amazon's price wa...","Reviewer: Water tastes great, (and my wife's happy) When our new GE profile refrigerator flashed it's ""Change Filter"" light, I wondered how much this little filter would cost me to replace . I was surprised...Amazon's price was not bad. Plus, the original filter lasted us almost 1 year .",sshleifer/distilbart-cnn-12-6,"Water tastes great, (and my wife's happy).. When our new GE profile refrigerator flashed it's ""Change Filter"" light, I wondered how much this little filter would cost me to replace.  I was surprised...Amazon's price was not bad.  Plus, the original filter lasted us almost 1 year (it's only my wife and I, but we drink water all the time).  My wife is picky about the water chlorine taste, etc., so I was initially very pleased when she was happy with the water taste & quality.  And, she hasn't complained since I installed this new filter.  Thanks GE for including this nice feature, and making it affordable to replace."
586,B00005OU6T,1.0,101,51,Don't get this type of humidifier!!!. The Holmes humidifier is the same old trick where they sell you a fancy printer for $15 and then you have to buy an ink cartridge for $39.99 every other week. The filters are not ...,Holmes humidifier is the same old trick where they sell you a fancy printer for $15 and then you have to buy an ink cartridge for $39.99 every other week . The filters are not cheap and if you are concerned about your health you would replace them every other .,sshleifer/distilbart-cnn-12-6,"Don't get this type of humidifier!!!. The Holmes humidifier is the same old trick where they sell you a fancy printer for $15 and then you have to buy an ink cartridge for $39.99 every other week.
The filters are not cheap and if you are concerned about your health you would replace them every other week since they begin to smell like a stale rotting pond.
Cleaning the Humidifier is not a walk in the park, it is not built for easy cleaning.
I recently bought one of those ultrasonic humidifiers that don't require a filter and are easy to clean (you just wipe the interior)."
