label,MLP_pred,overall,summary,text_preview
Positive,Negative,5.0,same as original,"same as original. Arrived safe, think its same quality as the original one. Make sure of the part number as they are not all same size."
Neutral,Positive,3.0,Three Stars,"Three Stars. wrong item ordered, my mistake"
Negative,Positive,2.0,Two Stars,"Two Stars. filters fine, tastes fine, just very slow at doing it."
Neutral,Negative,3.0,Product was received damaged but still runs like a champ,"Product was received damaged but still runs like a champ. Product was received damaged but still runs like a champ, so am happy with it, but this is the last Da"
Negative,Positive,1.0,Malfunction,"Malfunction. Installed July 7, 2016 Replacement required 9/13/2016."
Neutral,Negative,3.0,Not very robust. The connection between the plastic and ...,"Not very robust. The connection between the plastic and .... Not very robust. The connection between the plastic and mesh broke on one side almost immediately, "
Neutral,Positive,3.0,Three Stars,"Three Stars. These water filters work perfectly, but the price continues to go up each time I order."
Positive,Negative,5.0,I would recommend this part / company,I would recommend this part / company. Did not fix my problem but it was shipped as described and the part was as it should be. I would recommend this part / co
Neutral,Positive,3.0,not sure of the quality,"not sure of the quality. This is the second set of door handles that we've had to buy for the refrigerator at our rental house, can't say if its the handles or "
Negative,Positive,2.0,It worked for a while.,It worked for a while.. Annoying.  I had to replace this thing again. Third time in two years. Not to hard just an annoying 15 minute job to put in and take out
Neutral,Positive,3.0,"Well, what else?","Well, what else?. GE, do you think you could make some of these that the side rails don't immediately collapse inward during the first drying cycle? When that h"
Neutral,Positive,3.0,"Does the job, could be more pliable","Does the job, could be more pliable. Works fine, but this is just one of those products that is destined to fail and could be improved. On the Aprilaire 550 hum"
Neutral,Positive,3.0,Whirlpool/Kitchen aid plastic is bit brittle,Whirlpool/Kitchen aid plastic is bit brittle. This isn't a ding against this product per se. This is a ding against the plastic being used by Whirlpool and Kitc
Negative,Positive,2.0,Hard to pick out a set that fits range just ...,Hard to pick out a set that fits range just .... Hard to pick out a set that fits range just right. Drip pans I picked didn't fit range at all.
Neutral,Positive,3.0,ice maker,ice maker. It is very slow. It take over 2 days to fill tray. The cable was too long and hard to wrap it so it could be pluged in
Neutral,Positive,3.0,"Expect a dry dishwasher... new, unused dishwasher.","Expect a dry dishwasher... new, unused dishwasher.. why we're ware spots inside on the door, and water in the packaging?  This does not make sense.  This was to"
Positive,Negative,5.0,Go with the name brand,"Go with the name brand. I bought an off brand first, and returned it.  It was horrible.  This one worked great right from the start.  Ran the required amount of"
Neutral,Positive,3.0,Three Stars,Three Stars. Not as expected but it does make ice
Neutral,Positive,3.0,Its not accurate,"Its not accurate. I love the look and design of the product.  Its easy to read, it gives the humidity and temperature highs and lows which I like.  The one prob"
Negative,Positive,2.0,Wished it worked properly,"Wished it worked properly. this product should be wonderful.. It has all the qualities to make it well worth the money.
The problem is that everything is 3 degr"
Positive,Negative,4.0,Product number had been changed........,"Product number had been changed......... It was first thought that it would not fit but after careful consideration & investigation, was told that this was the "
Neutral,Positive,3.0,"water test different than other off market I replace,","water test different than other off market I replace,. water test different than other off market I replace,  but doable"
Neutral,Negative,3.0,Della Ice Maker,Della Ice Maker. I purchased this ice maker July of 2016. I loved this machine! Until it quit working about a year later.  Contacted Seller and they were unable
Neutral,Negative,3.0,It wasn't as universal as it said. All the ...,It wasn't as universal as it said. All the .... It wasn't as universal as it said. All the pieces fell into the slot after just a couple days.
Negative,Positive,2.0,"I hate to write a bad review for this, but....","I hate to write a bad review for this, but..... The company itself has great customer service, but the product needs work.

I loved this for about the first mon"
Positive,Negative,5.0,Probably the best mini fridge I've owned,"Probably the best mini fridge I've owned. I bought the 4.4^2' ""all fridge"" model in black.

If you're buying a mini fridge you should go for the ""all fridge"" mo"
Neutral,Positive,3.0,I love it but two of the burners won't always light,"I love it but two of the burners won't always light. I love it but two  of the burners won't always light, I have to use a match or outside lighter."
Negative,Positive,1.0,Half as good as OEM,"Half as good as OEM. These filters fall apart when wet.  Also, they only evaporate about half the water as the OEM filters so not worth the money in my opinion."
Negative,Positive,1.0,Filtering Data?,Filtering Data?. This filter is advertised as replacement for Maytag UKF8001 yet no data lists cysts and turbidity or lead and mercury filtering. Made in China 
Negative,Positive,1.0,PORTOLA SAYS !,PORTOLA SAYS !. SEARCHED THE WEB FOR WEEKS AND THIS WAS THE BEST PRICE FOR A WELL KNOWN MGR'R......DELIVERY WAS FAST......THANK YOU A1........HAVE ONLY OPENED T
Neutral,Negative,3.0,Cheaply Made,Cheaply Made. Cheaply Made
Negative,Positive,1.0,Should last longer for the price,Should last longer for the price. We have had it 1 1/2 years ran great and now it has died.
Positive,Neutral,4.0,Four Stars,Four Stars. Works and looks good. The only thing is the fan is very loud
Negative,Neutral,2.0,Two Stars,"Two Stars. Lasted one year, now I need another. The original lasted 15 years"
Neutral,Positive,3.0,Three Stars,"Three Stars. Not a very strong fan, everything around it gets wet"
