label,MultinomialNB_pred,overall,summary,text_preview
Neutral,Positive,3.0,Three Stars,"Three Stars. wrong item ordered, my mistake"
Negative,Positive,2.0,Two Stars,"Two Stars. filters fine, tastes fine, just very slow at doing it."
Positive,Negative,5.0,It works well and I haven't had trouble with the water turning bad at all,"It works well and I haven't had trouble with the water turning bad at all. <a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/BestAir-3BT-6-Origina"
Neutral,Positive,3.0,Product was received damaged but still runs like a champ,"Product was received damaged but still runs like a champ. Product was received damaged but still runs like a champ, so am happy with it, but this is the last Da"
Negative,Positive,1.0,6 months and dead,"6 months and dead. made it 6 months and burnt open.
I do not believe it was OEM part
Everything was clean good air flow part was just not quality."
Positive,Neutral,5.0,Improved performance and reliability,Improved performance and reliability. I got this ice maker as a replacement for the flaky unit in my LG french door refrigerator.  Mine failed to add water at t
Negative,Positive,1.0,this was a terrible purchase. i woke up the next morning to ...,this was a terrible purchase. i woke up the next morning to .... this was a terrible purchase.  i woke up the next morning to a watery icy mess all over my kitc
Neutral,Negative,3.0,Not very robust. The connection between the plastic and ...,"Not very robust. The connection between the plastic and .... Not very robust. The connection between the plastic and mesh broke on one side almost immediately, "
Neutral,Positive,3.0,Three Stars,"Three Stars. These water filters work perfectly, but the price continues to go up each time I order."
Neutral,Positive,3.0,not sure of the quality,"not sure of the quality. This is the second set of door handles that we've had to buy for the refrigerator at our rental house, can't say if its the handles or "
Negative,Positive,2.0,It worked for a while.,It worked for a while.. Annoying.  I had to replace this thing again. Third time in two years. Not to hard just an annoying 15 minute job to put in and take out
Neutral,Negative,3.0,"Well, what else?","Well, what else?. GE, do you think you could make some of these that the side rails don't immediately collapse inward during the first drying cycle? When that h"
Neutral,Positive,3.0,"Does the job, could be more pliable","Does the job, could be more pliable. Works fine, but this is just one of those products that is destined to fail and could be improved. On the Aprilaire 550 hum"
Neutral,Positive,3.0,Whirlpool/Kitchen aid plastic is bit brittle,Whirlpool/Kitchen aid plastic is bit brittle. This isn't a ding against this product per se. This is a ding against the plastic being used by Whirlpool and Kitc
Negative,Positive,2.0,Hard to pick out a set that fits range just ...,Hard to pick out a set that fits range just .... Hard to pick out a set that fits range just right. Drip pans I picked didn't fit range at all.
Neutral,Positive,3.0,ice maker,ice maker. It is very slow. It take over 2 days to fill tray. The cable was too long and hard to wrap it so it could be pluged in
Positive,Negative,5.0,Saved me big on my KitchenAid,"Saved me big on my KitchenAid. ""Wow!  I am stoked at only $24.  Supposed to arrive between 6/28 and 7/16 but here it is 6/24 at my door!  Part is is great shape"
Positive,Negative,4.0,Powerful range,"Powerful range. I've only owned this hood range for a couple weeks now, but it looks very sleek and industrial if that's what you want. The grates look easy to "
Neutral,Negative,3.0,"Expect a dry dishwasher... new, unused dishwasher.","Expect a dry dishwasher... new, unused dishwasher.. why we're ware spots inside on the door, and water in the packaging?  This does not make sense.  This was to"
Neutral,Positive,3.0,Three Stars,Three Stars. Not as expected but it does make ice
Neutral,Positive,3.0,Its not accurate,"Its not accurate. I love the look and design of the product.  Its easy to read, it gives the humidity and temperature highs and lows which I like.  The one prob"
Negative,Positive,2.0,Wished it worked properly,"Wished it worked properly. this product should be wonderful.. It has all the qualities to make it well worth the money.
The problem is that everything is 3 degr"
Negative,Positive,2.0,The ring at the top of the filter broke off ...,The ring at the top of the filter broke off .... The ring at the top of the filter broke off as we were installing it.  Very touchy product......should be able 
Positive,Negative,4.0,Product number had been changed........,"Product number had been changed......... It was first thought that it would not fit but after careful consideration & investigation, was told that this was the "
Neutral,Positive,3.0,"water test different than other off market I replace,","water test different than other off market I replace,. water test different than other off market I replace,  but doable"
Neutral,Negative,3.0,Della Ice Maker,Della Ice Maker. I purchased this ice maker July of 2016. I loved this machine! Until it quit working about a year later.  Contacted Seller and they were unable
Negative,Positive,1.0,"First gallon water was black, but cleared up, ...","First gallon water was black, but cleared up, .... First gallon water was black, but cleared up,  This does not happen with the Maytag filter.  Will not order a"
