label,ComplementNB_pred,overall,summary,text_preview
Positive,Negative,4.0,"Functional repair, but appearance is not ""like new""","Functional repair, but appearance is not ""like new"". This is a panel retrofit - not a new panel.  You send your failing panel, and this provides an added keypad"
Positive,Neutral,5.0,"Good fit, great piece of mind","Good fit, great piece of mind. No fit issues, no trimming required, no damage to the product when I received it. Sure, you have to slightly adjust the height of"
Positive,Neutral,5.0,same as original,"same as original. Arrived safe, think its same quality as the original one. Make sure of the part number as they are not all same size."
Neutral,Negative,3.0,Three Stars,"Three Stars. wrong item ordered, my mistake"
Negative,Positive,2.0,Two Stars,"Two Stars. filters fine, tastes fine, just very slow at doing it."
Positive,Negative,5.0,It works well and I haven't had trouble with the water turning bad at all,"It works well and I haven't had trouble with the water turning bad at all. <a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/BestAir-3BT-6-Origina"
Positive,Neutral,5.0,"Good product, will not fall apart and is very ...","Good product, will not fall apart and is very .... Good product, will not fall apart and is very easy to assemble. Recommend to purchasing a hose for the water "
Neutral,Positive,3.0,Product was received damaged but still runs like a champ,"Product was received damaged but still runs like a champ. Product was received damaged but still runs like a champ, so am happy with it, but this is the last Da"
Positive,Neutral,5.0,Works for Meile,Works for Meile. This is the same exact filter that I buy from Meile only it says Bosch instead of Meile on it.  Provides adequate filtering for the refrigerato
Positive,Negative,5.0,What I expected,What I expected. It was what I expected. I order these once a year and have had good luck with these. I recommend them
Positive,Neutral,5.0,Improved performance and reliability,Improved performance and reliability. I got this ice maker as a replacement for the flaky unit in my LG french door refrigerator.  Mine failed to add water at t
Positive,Negative,5.0,seems pretty accurate and easy to read,seems pretty accurate and easy to read. I've tied the outdoor sensor in the shade of a tree-limb ... and the temperature results look spot-on to me i.e. the tem
Positive,Negative,5.0,Five Stars,Five Stars. No bad tasting or smelly water.
Positive,Neutral,5.0,Five Stars,Five Stars. Ok
Neutral,Negative,3.0,Not very robust. The connection between the plastic and ...,"Not very robust. The connection between the plastic and .... Not very robust. The connection between the plastic and mesh broke on one side almost immediately, "
Neutral,Positive,3.0,Three Stars,"Three Stars. These water filters work perfectly, but the price continues to go up each time I order."
Positive,Neutral,5.0,Good Machine.,"Good Machine.. I have been impressed by this little machine. It has handled just about anything I give it to wash. It will not handle large items, or heavy wet "
Positive,Negative,5.0,I would recommend this part / company,I would recommend this part / company. Did not fix my problem but it was shipped as described and the part was as it should be. I would recommend this part / co
Neutral,Negative,3.0,not sure of the quality,"not sure of the quality. This is the second set of door handles that we've had to buy for the refrigerator at our rental house, can't say if its the handles or "
Negative,Positive,2.0,It worked for a while.,It worked for a while.. Annoying.  I had to replace this thing again. Third time in two years. Not to hard just an annoying 15 minute job to put in and take out
Neutral,Negative,3.0,"Well, what else?","Well, what else?. GE, do you think you could make some of these that the side rails don't immediately collapse inward during the first drying cycle? When that h"
Neutral,Negative,3.0,"Does the job, could be more pliable","Does the job, could be more pliable. Works fine, but this is just one of those products that is destined to fail and could be improved. On the Aprilaire 550 hum"
Neutral,Negative,3.0,Whirlpool/Kitchen aid plastic is bit brittle,Whirlpool/Kitchen aid plastic is bit brittle. This isn't a ding against this product per se. This is a ding against the plastic being used by Whirlpool and Kitc
Negative,Positive,2.0,Hard to pick out a set that fits range just ...,Hard to pick out a set that fits range just .... Hard to pick out a set that fits range just right. Drip pans I picked didn't fit range at all.
Neutral,Negative,3.0,ice maker,ice maker. It is very slow. It take over 2 days to fill tray. The cable was too long and hard to wrap it so it could be pluged in
Positive,Neutral,5.0,OK,OK. No more odors.
Positive,Negative,4.0,Powerful range,"Powerful range. I've only owned this hood range for a couple weeks now, but it looks very sleek and industrial if that's what you want. The grates look easy to "
Neutral,Negative,3.0,"Expect a dry dishwasher... new, unused dishwasher.","Expect a dry dishwasher... new, unused dishwasher.. why we're ware spots inside on the door, and water in the packaging?  This does not make sense.  This was to"
Positive,Negative,5.0,Go with the name brand,"Go with the name brand. I bought an off brand first, and returned it.  It was horrible.  This one worked great right from the start.  Ran the required amount of"
Positive,Neutral,4.0,Work fine,"Work fine. I made the mistake of cleaning my grates during the oven's self-clean cycle. Grates got clean, but forgot about the rubber. These are a wee bit small"
Neutral,Positive,3.0,Three Stars,Three Stars. Not as expected but it does make ice
Positive,Negative,5.0,"so far, so good","so far, so good. so i filled the inside with water until no bubbles came out. i gave it a few taps around just to make sure. it was much faster to fill this one"
Neutral,Positive,3.0,Its not accurate,"Its not accurate. I love the look and design of the product.  Its easy to read, it gives the humidity and temperature highs and lows which I like.  The one prob"
Positive,Negative,5.0,Five Stars,Five Stars. Worked on my dryer to fix our issue. No issues in the roughly six months since we bought it
Positive,Negative,5.0,Big and comfortable,Big and comfortable. I love it! Anything that I looked in Frigidaire. There's any noise as another reviewer wrote here
Positive,Negative,4.0,Product number had been changed........,"Product number had been changed......... It was first thought that it would not fit but after careful consideration & investigation, was told that this was the "
Positive,Negative,5.0,We usually purchase the Samsung filter but I couldn't bring ...,We usually purchase the Samsung filter but I couldn't bring .... We usually purchase the Samsung filter but I couldn't bring myself to keep spending extra money
Positive,Neutral,5.0,These work as advertise. I run my vaporless humidifiers ...,These work as advertise. I run my vaporless humidifiers .... These work as advertise. I run my vaporless humidifiers each night in our bedrooms and will flip th
Neutral,Negative,3.0,"water test different than other off market I replace,","water test different than other off market I replace,. water test different than other off market I replace,  but doable"
Neutral,Negative,3.0,Della Ice Maker,Della Ice Maker. I purchased this ice maker July of 2016. I loved this machine! Until it quit working about a year later.  Contacted Seller and they were unable
Negative,Neutral,1.0,"First gallon water was black, but cleared up, ...","First gallon water was black, but cleared up, .... First gallon water was black, but cleared up,  This does not happen with the Maytag filter.  Will not order a"
Positive,Negative,4.0,"If the original had never molded, I wouldn't be writing this...","If the original had never molded, I wouldn't be writing this.... The bellows has some design improvements over the original the most notable being that of a dra"
Neutral,Negative,3.0,It wasn't as universal as it said. All the ...,It wasn't as universal as it said. All the .... It wasn't as universal as it said. All the pieces fell into the slot after just a couple days.
Negative,Neutral,1.0,( I see on the new unit has better slightly better non college boy design ) The design ...,"( I see on the new unit has better slightly better non college boy design ) The design .... My dishwasher is 'reasonably' new but 'packed up'.
Their manufacturi"
Positive,Negative,4.0,"love love LOVE this range, only one thing...","love love LOVE this range, only one thing.... We remodeled our kitchen and went from a wall oven and cooktop to this freestanding range (said it was slide in, b"
Positive,Negative,5.0,Miss Jessie's has yet to be beat.,Miss Jessie's has yet to be beat.. Great for defining curls with minimal work. I love that it doesn't make my hair hard throughout the day but still manages to 
Positive,Negative,5.0,Probably the best mini fridge I've owned,"Probably the best mini fridge I've owned. I bought the 4.4^2' ""all fridge"" model in black.

If you're buying a mini fridge you should go for the ""all fridge"" mo"
